champion_name,champion_id,matches_played,wins,winrate,avg_kills,avg_deaths,avg_assists
Senna,235,32687,17298,52.92,4.59,5.49,12.17
Ezreal,81,20352,9530,46.83,6.5,5.6,6.64
Sylas,517,19089,9456,49.54,7.11,6.21,7.22
Seraphine,147,18761,9700,51.7,3.25,5.5,12.9
Nautilus,111,17947,8977,50.02,1.92,6.36,13.95
Jhin,202,17844,8706,48.79,7.07,5.2,7.9
Graves,104,16374,8119,49.58,8.21,5.4,6.09
LeeSin,64,16124,7982,49.5,7.62,5.27,8.35
Ahri,103,16075,8195,50.98,6.37,5.08,7.19
Bard,432,15500,7949,51.28,2.78,5.49,14.67
Ashe,22,15045,7591,50.46,5.62,6.38,8.5
Thresh,412,14724,7708,52.35,1.72,5.69,14.85
Caitlyn,51,14598,7118,48.76,6.32,6.11,6.26
Yone,777,14505,7231,49.85,5.93,6.4,4.6
Yasuo,157,14475,7189,49.66,5.94,6.5,5.16
Karma,43,13249,6390,48.23,1.63,5.3,13.79
Nami,267,13129,6329,48.21,1.36,5.05,15.31
Jayce,126,12643,6274,49.62,6.52,6.02,5.97
Kaisa,145,12610,5929,47.02,7.79,6.11,6.26
Diana,131,12327,6184,50.17,7.08,5.88,6.65
Jinx,222,12254,6185,50.47,6.62,6.05,6.86
Zed,238,12229,6278,51.34,7.71,5.57,5.2
Viktor,112,12115,6094,50.3,5.35,5.41,6.79
Talon,91,12095,6263,51.78,8.92,5.77,6.48
Viego,234,12066,6003,49.75,9.1,5.64,5.57
JarvanIV,59,11732,5931,50.55,6.06,5.36,11.9
Vladimir,8,11325,5648,49.87,5.95,4.78,5.27
Ekko,245,11140,5633,50.57,7.81,5.03,5.73
Sion,14,10792,5309,49.19,3.72,5.29,7.3
Lulu,117,10743,5347,49.77,1.33,5.04,14.76
Katarina,55,10671,5448,51.05,9.3,6.34,5.46
Akali,84,10592,5251,49.58,7.9,5.41,4.45
Leona,89,10521,5376,51.1,1.74,6.38,14.27
Vayne,67,10504,5249,49.97,6.73,6.2,4.58
Naafiri,950,10477,5103,48.71,8.0,5.45,6.46
Khazix,121,10336,5216,50.46,8.5,5.28,6.01
Rell,526,10308,5441,52.78,1.94,5.91,16.64
XinZhao,5,10215,5122,50.14,5.96,6.36,6.8
Syndra,134,10057,5149,51.2,6.03,5.48,6.23
Malphite,54,10052,5026,50.0,3.99,4.69,7.37
Lux,99,9820,4850,49.39,5.37,5.53,9.73
